2024-12-08 19:21:22 - Sistema: Windows | Versão: 10.0.19045 | Máquina: AMD64 | Processador: AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD
2024-12-08 19:21:22 - Hostname: DESKTOP-LVG80TU | Endereço IP: 26.94.128.173
2024-12-08 19:21:29 - Sistema: Windows | Versão: 10.0.19045 | Máquina: AMD64 | Processador: AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD
2024-12-08 19:21:29 - Hostname: DESKTOP-LVG80TU | Endereço IP: 26.94.128.173
2024-12-08 19:21:32 - Uso por núcleo: [6.1, 7.8, 3.1, 3.1, 15.6, 4.7, 0.0, 6.2, 1.6, 6.2, 3.2, 1.6] | Média de CPU: 4.93% | Temp: Temperatura não suportada°C | RAM: 76.7% (usada: 10906 MB de 14229 MB) | Swap: 4.1% (usada: 249 MB de 6144 MB) | Disco: 95.0% (livre: 23737 MB de 476265 MB) | Rede - Enviado: 1570 MB | Recebido: 55038 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): []
2024-12-08 19:21:39 - Uso por núcleo: [1.6, 4.7, 1.6, 4.6, 7.8, 1.5, 3.1, 7.8, 0.0, 0.0, 0.0, 0.0] | Média de CPU: 2.73% | Temp: Temperatura não suportada°C | RAM: 76.3% (usada: 10853 MB de 14229 MB) | Swap: 4.1% (usada: 249 MB de 6144 MB) | Disco: 95.0% (livre: 23737 MB de 476265 MB) | Rede - Enviado: 1570 MB | Recebido: 55040 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1123.6, 'running'), (4, 'System', 4.5, 'running'), (1184, 'lsass.exe', 0.2, 'running'), (1556, 'steam.exe', 0.7, 'running'), (2644, 'svchost.exe', 0.2, 'running')]
2024-12-08 19:21:46 - Uso por núcleo: [16.2, 3.1, 4.6, 4.6, 18.8, 7.7, 6.2, 12.3, 1.5, 1.5, 3.1, 0.0] | Média de CPU: 6.63% | Temp: Temperatura não suportada°C | RAM: 76.9% (usada: 10944 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23737 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55043 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1065.7, 'running'), (4, 'System', 4.8, 'running'), (1184, 'lsass.exe', 0.5, 'running'), (1304, 'svchost.exe', 0.9, 'running'), (1432, 'svchost.exe', 1.4, 'running')]
2024-12-08 19:21:53 - Uso por núcleo: [18.2, 7.8, 6.2, 7.8, 29.7, 10.9, 12.5, 4.7, 4.7, 4.7, 7.8, 0.0] | Média de CPU: 9.58% | Temp: Temperatura não suportada°C | RAM: 77.1% (usada: 10971 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23737 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55046 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1024.9, 'running'), (4, 'System', 2.9, 'running'), (1432, 'svchost.exe', 0.2, 'running'), (1556, 'steam.exe', 0.9, 'running'), (2612, 'wallpaper32.exe', 0.7, 'running')]
2024-12-08 19:22:00 - Uso por núcleo: [16.4, 1.6, 7.8, 9.4, 26.2, 1.6, 21.9, 3.1, 1.6, 3.1, 0.0, 6.2] | Média de CPU: 8.24% | Temp: Temperatura não suportada°C | RAM: 77.1% (usada: 10974 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23736 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55048 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1076.4, 'running'), (4, 'System', 2.2, 'running'), (1556, 'steam.exe', 0.4, 'running'), (2680, 'dwm.exe', 6.7, 'running'), (4568, 'GoogleDriveFS.exe', 1.6, 'running')]
2024-12-08 19:22:07 - Uso por núcleo: [29.4, 15.4, 24.6, 14.1, 25.0, 17.2, 28.1, 17.2, 17.2, 10.8, 26.6, 7.8] | Média de CPU: 19.45% | Temp: Temperatura não suportada°C | RAM: 77.1% (usada: 10971 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23736 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55052 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1024.5, 'running'), (4, 'System', 6.6, 'running'), (1556, 'steam.exe', 1.1, 'running'), (2612, 'wallpaper32.exe', 0.2, 'running'), (2680, 'dwm.exe', 8.8, 'running')]
2024-12-08 19:22:13 - Uso por núcleo: [6.2, 7.8, 7.8, 11.1, 18.8, 7.7, 9.4, 9.4, 6.2, 7.9, 7.8, 4.7] | Média de CPU: 8.73% | Temp: Temperatura não suportada°C | RAM: 77.2% (usada: 10979 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23736 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55055 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1090.5, 'running'), (4, 'System', 2.5, 'running'), (1556, 'steam.exe', 0.7, 'running'), (2644, 'svchost.exe', 0.2, 'running'), (2680, 'dwm.exe', 5.9, 'running')]
2024-12-08 19:22:20 - Uso por núcleo: [9.1, 3.1, 0.0, 6.3, 18.8, 1.6, 3.1, 1.6, 1.6, 0.0, 1.6, 0.0] | Média de CPU: 3.90% | Temp: Temperatura não suportada°C | RAM: 77.0% (usada: 10961 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23736 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55058 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1135.0, 'running'), (4, 'System', 1.8, 'running'), (1184, 'lsass.exe', 0.2, 'running'), (1556, 'steam.exe', 0.5, 'running'), (2680, 'dwm.exe', 4.1, 'running')]
2024-12-08 19:22:27 - Uso por núcleo: [20.0, 15.6, 12.5, 9.4, 10.9, 10.9, 9.4, 23.4, 6.2, 6.2, 10.9, 7.8] | Média de CPU: 11.93% | Temp: Temperatura não suportada°C | RAM: 77.2% (usada: 10980 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23736 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55062 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1023.8, 'running'), (4, 'System', 4.3, 'running'), (1184, 'lsass.exe', 0.5, 'running'), (1304, 'svchost.exe', 0.7, 'running'), (1432, 'svchost.exe', 1.4, 'running')]
2024-12-08 19:22:34 - Uso por núcleo: [9.4, 12.5, 4.7, 6.2, 12.5, 9.4, 10.9, 4.7, 1.6, 3.1, 4.7, 3.1] | Média de CPU: 6.90% | Temp: Temperatura não suportada°C | RAM: 77.3% (usada: 10997 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23736 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55064 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1073.7, 'running'), (4, 'System', 2.5, 'running'), (1556, 'steam.exe', 0.4, 'running'), (2188, 'svchost.exe', 0.2, 'running'), (2612, 'wallpaper32.exe', 0.2, 'running')]
2024-12-08 19:22:41 - Uso por núcleo: [12.3, 7.8, 6.2, 6.2, 15.6, 6.2, 12.7, 4.7, 6.2, 0.0, 4.7, 1.6] | Média de CPU: 7.02% | Temp: Temperatura não suportada°C | RAM: 77.0% (usada: 10960 MB de 14229 MB) | Swap: 4.0% (usada: 247 MB de 6144 MB) | Disco: 95.0% (livre: 23736 MB de 476265 MB) | Rede - Enviado: 1571 MB | Recebido: 55067 MB | Erro ao coletar dados da GPU: NVML Shared Library Not Found | Top processos (PID, Nome, CPU%, Status): [(0, 'System Idle Process', 1108.9, 'running'), (4, 'System', 5.9, 'running'), (1556, 'steam.exe', 0.7, 'running'), (2680, 'dwm.exe', 5.3, 'running'), (2876, 'svchost.exe', 0.2, 'running')]
